"","id","slope_48","intercept_48","tleaf_48","vqmax_48","treatment","tleaf_fac"
"1","gg_1",7.53150994764272,-2.16343801858708,48.0063285714286,5.36807192905565,"25c","48c"
"2","gg_2",49.1217386276754,6.54756188695208,47.9997373011111,55.6693005146275,"35c","48c"
"3","gg_3",5.5530786191368,0.960644192952916,48.0057588888889,6.51372281208972,"25c","48c"
"4","gg_5",70.6556005841044,16.0612468201248,47.9635023814286,86.7168474042292,"25c","48c"
"5","gg_6",7.61206725858272,0.102434268480977,48.01045,7.71450152706369,"35c","48c"
"6","gg_7",26.9739344137304,0.443256335165207,48.0033424244444,27.4171907488956,"25c","48c"
"7","gg_9",13.901440732865,-0.526163054767773,48.0142748488889,13.3752776780972,"25c","48c"
"8","gg_10",20.3834709967985,4.02873419858918,47.97841375,24.4122051953877,"35c","48c"
"9","gg_12",16.8916482744518,15.6300468088097,47.99469368,32.5216950832615,"35c","48c"
"10","gg_14",23.2412305222143,4.4628180824348,47.8353293055556,27.7040486046491,"35c","48c"
"11","gg_15",14.1112019778585,-1.00606282128053,48.00203601,13.105139156578,"25c","48c"
"12","gg_16",51.2377134701956,15.8280211741535,48.0118826522222,67.0657346443491,"35c","48c"
"13","gg_18",36.5221403141244,6.75272708640372,48.0078782742857,43.2748674005282,"35c","48c"
"14","gg_21",22.0422368657471,4.21567072347102,47.96555958375,26.2579075892181,"25c","48c"
"15","gg_22",63.7028250192641,14.1608354628318,47.9554819633333,77.8636604820959,"35c","48c"
"16","gg_23",40.229026379381,-15.4247870106757,47.9810081822222,24.8042393687053,"25c","48c"
"17","gg_24",39.4956075537371,13.7213417966557,47.9797739655556,53.2169493503928,"35c","48c"
"18","gg_26",43.6268743052549,52.2771118452868,48.0014477341667,95.9039861505417,"35c","48c"
"19","gg_28",69.5141365751566,29.1606629520198,48.0100859744444,98.6747995271763,"35c","48c"
"20","gg_29",13.7675258580234,1.77908970962544,47.9718051511111,15.5466155676488,"25c","48c"
"21","gg_30",29.6170132114656,6.14961983064071,48.09591625,35.7666330421063,"35c","48c"
"22","gg_31",14.1445230046572,-2.1882478071097,48.009405,11.9562751975475,"25c","48c"
"23","gg_32",24.4390143567483,-1.14882925525874,47.9970682411111,23.2901851014896,"35c","48c"
"24","gg_34",73.1868055950739,20.2725353382839,48.0156480777778,93.4593409333578,"35c","48c"
"25","gg_35",11.5586445188302,0.364552862431587,47.9992722222222,11.9231973812618,"25c","48c"
"26","gg_36",19.8730523955009,5.15013630185692,48.0260999988889,25.0231886973578,"35c","48c"
"27","gg_38",21.8097224227728,6.00337083057435,48.0131125922222,27.8130932533472,"35c","48c"
"28","gg_39",18.6507513324892,0.408466038400884,47.9933392933333,19.0592173708901,"25c","48c"
