"","id","slope_18","intercept_18","tleaf_18","vqmax_18","treatment","tleaf_fac"
"1","gg_1",21.2890066772276,21.2890066772276,21.2890066772276,42.5780133544553,"25c","18c"
"2","gg_2",37.7816398136201,5.27303287963479,18.029204668,43.0546726932549,"35c","18c"
"3","gg_3",86.2899365751284,4.40587189644706,18.2834608333333,90.6958084715754,"25c","18c"
"4","gg_4",79.3165452811697,15.6863549015135,17.9991076222222,95.0029001826832,"35c","18c"
"5","gg_5",49.897771222608,-1.83981687552627,18.3313610655556,48.0579543470818,"25c","18c"
"6","gg_6",18.036326421451,2.438690308182,18.01858199,20.475016729633,"35c","18c"
"7","gg_7",80.4747328802556,5.74445059040097,18.5674825,86.2191834706566,"25c","18c"
"8","gg_8",73.9302370814788,4.43473215719379,17.9514301383333,78.3649692386726,"35c","18c"
"9","gg_9",88.1839107610903,-12.4292357074389,17.9835146944444,75.7546750536514,"25c","18c"
"10","gg_11",51.7087343951477,2.49574742353773,18.0214502877778,54.2044818186855,"25c","18c"
"11","gg_12",46.1463215568144,10.8535260742691,17.9676606022222,56.9998476310835,"35c","18c"
"12","gg_14",42.20017062224,10.6776451896162,17.9931993066667,52.8778158118562,"35c","18c"
"13","gg_15",69.4923363438871,1.08871319624462,18.2516940744444,70.5810495401317,"25c","18c"
"14","gg_16",60.4777284427098,13.9942339570697,18.0061255555556,74.4719623997796,"35c","18c"
"15","gg_18",48.3108276741768,-10.4741948081416,17.9756481944444,37.8366328660353,"35c","18c"
"16","gg_19",57.054373036016,-6.02007847267565,17.9936820533333,51.0342945633404,"25c","18c"
"17","gg_21",85.3403266165881,-8.25404154057005,18.0132435711111,77.086285076018,"25c","18c"
"18","gg_22",43.6012687153745,12.369668739055,17.9745157411111,55.9709374544294,"35c","18c"
"19","gg_23",37.6203812264487,6.54784340151027,18.1937583053333,44.168224627959,"25c","18c"
"20","gg_24",36.1030493136682,11.6056068761538,18.0145772727273,47.708656189822,"35c","18c"
"21","gg_25",77.7298063242097,-11.586024954785,17.9835146944444,66.1437813694247,"25c","18c"
"22","gg_26",44.3488610243617,9.3482262430873,17.9856612066667,53.697087267449,"35c","18c"
"23","gg_27",77.2453880468644,-14.9633278792165,18.1503963685714,62.2820601676479,"25c","18c"
"24","gg_28",50.2613162164733,0.415756078155201,17.96842625,50.6770722946285,"35c","18c"
"25","gg_29",41.6833994924567,-9.0284253221801,18.1646435416667,32.6549741702766,"25c","18c"
"26","gg_30",40.0001751848192,9.51718645048149,17.9896507988889,49.5173616353007,"35c","18c"
"27","gg_31",44.429978756658,-13.0853573294836,18.3827072614286,31.3446214271744,"25c","18c"
"28","gg_32",28.7945304129507,9.83952522349455,17.9915493777778,38.6340556364452,"35c","18c"
"29","gg_33",71.0626875078322,9.09463940116212,17.9835146944444,80.1573269089943,"25c","18c"
"30","gg_34",56.5888486157366,16.0833218078395,17.9909564644444,72.6721704235761,"35c","18c"
"31","gg_35",107.0276957939,13.6265892421903,18.3541457866667,120.65428503609,"25c","18c"
"32","gg_36",57.4156154070884,3.09556391426522,17.9965621988889,60.5111793213536,"35c","18c"
"33","gg_37",29.3820901514503,-1.76950831694348,18.0173953522222,27.6125818345068,"25c","18c"
"34","gg_38",33.5318273915443,6.19530292887961,17.9709784722222,39.7271303204239,"35c","18c"
"35","gg_39",50.7027482954107,-15.8835016200667,18.22198875,34.819246675344,"25c","18c"
"36","gg_40",29.4752122023663,4.73030384411407,17.958345,34.2055160464804,"35c","18c"
