"","id","slope_42","intercept_42","tleaf_42","vqmax_42","treatment","tleaf_fac"
"1","gg_2",84.6812428590034,21.0892815511756,42.0102937044444,105.770524410179,"35c","42c"
"2","gg_3",111.839260932979,15.7196324721894,42.1065839285714,127.558893405168,"25c","42c"
"3","gg_4",67.085385427346,14.4019041678966,42.005931416,81.4872895952426,"35c","42c"
"4","gg_5",84.4913232371422,6.25514835158737,42.0081053877778,90.7464715887295,"25c","42c"
"5","gg_6",62.3547629005235,16.580328290714,42.0103634055556,78.9350911912375,"35c","42c"
"6","gg_7",132.397328313735,21.8796635783052,42.0324093457143,154.27699189204,"25c","42c"
"7","gg_9",133.14461841259,18.8144215846105,42.0396455555556,151.9590399972,"25c","42c"
"8","gg_10",37.4678013126407,9.94229890151254,41.98971761,47.4101002141532,"35c","42c"
"9","gg_12",123.148720005402,-3.78393806871458,42.009431334,119.364781936688,"35c","42c"
"10","gg_14",82.758364056822,14.9050587383172,41.9778645366667,97.6634227951392,"35c","42c"
"11","gg_16",53.1969403776121,12.1740443022218,41.9773566666667,65.3709846798339,"35c","42c"
"12","gg_18",54.5024267952981,7.00235952330705,42.0107581,61.5047863186051,"35c","42c"
"13","gg_21",133.64809155284,7.2693641909033,41.9690448977778,140.917455743744,"25c","42c"
"14","gg_22",70.0424202429727,12.6463887488668,40.11617803875,82.6888089918395,"35c","42c"
"15","gg_24",66.8963230719446,9.33431002357449,41.9700357866667,76.2306330955191,"35c","42c"
"16","gg_25",101.654775729966,9.96948336162231,42.0150215166667,111.624259091588,"25c","42c"
"17","gg_26",75.2274246358693,14.0446906381036,42.0012604544444,89.2721152739729,"35c","42c"
"18","gg_27",104.34781381589,13.8729864068539,42.0124959255556,118.220800222744,"25c","42c"
"19","gg_28",97.8580268344603,24.3629342222997,42.02707208,122.22096105676,"35c","42c"
"20","gg_29",147.845297575645,18.8802649158422,42.0154081477778,166.725562491488,"25c","42c"
"21","gg_30",43.6757538025902,12.2679570112628,42.0084796544444,55.943710813853,"35c","42c"
"22","gg_32",40.1689820469404,4.43545822256117,42.0266012066667,44.6044402695016,"35c","42c"
"23","gg_34",107.850955910732,20.1915870993912,41.9919673611111,128.042543010124,"35c","42c"
"24","gg_35",191.646459340916,18.8652346512487,42.0156572226667,210.511693992165,"25c","42c"
"25","gg_36",86.4415778619948,11.8605260320278,42.0099562366667,98.3021038940226,"35c","42c"
"26","gg_38",65.0463822740712,12.1840385889302,42.0076633822222,77.2304208630014,"35c","42c"
"27","gg_39",62.7607246730139,-0.818418817061848,42.0016882655556,61.9423058559521,"25c","42c"
"28","gg_40",39.075419998801,5.45184103996296,42.0028091988889,44.527261038764,"35c","42c"
