"","id","slope_24","intercept_24","tleaf_24","vqmax_24","treatment","tleaf_fac"
"1","gg_2",75.7910302905456,16.2494495017705,23.9769543055556,92.0404797923162,"35c","24c"
"2","gg_3",99.2584268747371,9.33700662164027,24.3104833333333,108.595433496377,"25c","24c"
"3","gg_4",95.5690495103225,14.4487623451902,23.9427185,110.017811855513,"35c","24c"
"4","gg_5",68.4253555953094,2.22551620156536,24.0428014811111,70.6508717968747,"25c","24c"
"5","gg_6",26.1783162680632,4.37126981442052,24.0235750411111,30.5495860824838,"35c","24c"
"6","gg_7",94.8384951256269,8.24322943907155,23.49662318,103.081724564698,"25c","24c"
"7","gg_8",62.609613525481,11.4399925142042,23.97827787,74.0496060396852,"35c","24c"
"8","gg_9",86.2422167002712,-0.508835555560076,24.07746744,85.7333811447111,"25c","24c"
"9","gg_10",48.8774445378136,-3.86802325532778,24.00784838,45.0094212824859,"35c","24c"
"10","gg_11",69.0295410063239,2.76665099638026,24.0043373722222,71.7961920027041,"25c","24c"
"11","gg_12",31.6785102601533,6.63827098183561,24.0042449211111,38.3167812419889,"35c","24c"
"12","gg_14",46.8851239692763,14.1345942975408,23.9527395833333,61.0197182668172,"35c","24c"
"13","gg_15",95.0742309443576,3.79999100843829,24.0059966433333,98.8742219527959,"25c","24c"
"14","gg_16",93.4586287608702,14.6264192318336,23.9595327083333,108.085047992704,"35c","24c"
"15","gg_18",72.0843119124,-8.26677869021153,23.9946498566667,63.8175332221885,"35c","24c"
"16","gg_19",67.0078425234724,-7.1191476007691,24.0227209716667,59.8886949227033,"25c","24c"
"17","gg_21",111.341717477461,-9.33756493156675,24.0004780888889,102.004152545894,"25c","24c"
"18","gg_22",60.9118596476738,15.2928001540894,23.9930804322222,76.2046598017632,"35c","24c"
"19","gg_23",84.2147446068588,16.1385857820697,24.0034681477778,100.353330388929,"25c","24c"
"20","gg_24",54.5965889044558,12.6429501305808,24.0026577788889,67.2395390350366,"35c","24c"
"21","gg_25",72.9042610924108,2.80299903624885,24.008403125,75.7072601286596,"25c","24c"
"22","gg_26",57.9689173598735,10.5780382114883,23.9959840755556,68.5469555713618,"35c","24c"
"23","gg_27",77.5293886070277,-15.8401562512098,24.4328745822222,61.6892323558178,"25c","24c"
"24","gg_28",83.1915421310342,15.2493556877891,23.9893027777778,98.4408978188232,"35c","24c"
"25","gg_29",78.8622990968319,-11.3242600146991,24.2647309722222,67.5380390821328,"25c","24c"
"26","gg_30",54.1463176620207,8.51970477401916,23.963895666,62.6660224360398,"35c","24c"
"27","gg_31",43.5250402571535,-11.5230630374285,24.4082541211111,32.001977219725,"25c","24c"
"28","gg_32",45.6974227741197,6.9099194350441,23.935015,52.6073422091638,"35c","24c"
"29","gg_33",99.5899514530682,8.14214703652376,24.00927025,107.732098489592,"25c","24c"
"30","gg_34",94.0698324515244,19.7525662440771,24.0087852677778,113.822398695601,"35c","24c"
"31","gg_35",142.614255571255,17.9741513851369,24.0031944422222,160.588406956392,"25c","24c"
"32","gg_36",80.5826889401448,-0.803862662011703,23.99390209,79.7788262781331,"35c","24c"
"33","gg_37",96.8848208023328,2.57609541686542,23.9973492588889,99.4609162191983,"25c","24c"
"34","gg_38",45.606881578365,9.24325157063387,24.3104833333333,54.8501331489989,"35c","24c"
"35","gg_39",62.5263800294285,-18.0986371344194,24.2716602311111,44.4277428950091,"25c","24c"
"36","gg_40",27.4025168920706,8.32313073436855,23.9770526855556,35.7256476264391,"35c","24c"
