"","id","slope_30","intercept_30","vqmax_30","treatment","tleaf_fac"
"1","gg_3",130.309887701273,16.4694882080845,146.779375909357,"25c","30c"
"2","gg_4",76.9938953297387,19.8254338101055,96.8193291398442,"35c","30c"
"3","gg_6",99.4816403768738,15.986979326131,115.468619703005,"35c","30c"
"4","gg_7",127.191871442873,15.782900263323,142.974771706196,"25c","30c"
"5","gg_8",86.5571458209691,4.38515281803599,90.942298639005,"35c","30c"
"6","gg_9",162.150784456018,5.54872497299813,167.699509429017,"25c","30c"
"7","gg_10",31.5752512189931,9.79599143095169,41.3712426499448,"35c","30c"
"8","gg_11",66.9122721913495,7.82345618991274,74.7357283812623,"25c","30c"
"9","gg_12",49.1126759912696,11.4178582333378,60.5305342246075,"35c","30c"
"10","gg_14",51.6368339267159,9.33360544350052,60.9704393702165,"35c","30c"
"11","gg_16",84.6021303133111,10.6459324604262,95.2480627737372,"35c","30c"
"12","gg_18",50.8684125898616,1.41913800520282,52.2875505950644,"35c","30c"
"13","gg_19",92.5293119375656,-8.01299172311775,84.5163202144479,"25c","30c"
"14","gg_22",65.0017992833424,8.33068780599594,73.3324870893383,"35c","30c"
"15","gg_23",120.767092610647,14.7361884670033,135.50328107765,"25c","30c"
"16","gg_24",48.6704099831256,11.6499858755506,60.3203958586761,"35c","30c"
"17","gg_25",91.445221438069,4.10811352369255,95.5533349617615,"25c","30c"
"18","gg_26",76.4373029970152,5.37965923426445,81.8169622312796,"35c","30c"
"19","gg_27",101.041355575092,0.000187697114554289,101.041543272206,"25c","30c"
"20","gg_29",89.8649419330451,-2.81586755990579,87.0490743731393,"25c","30c"
"21","gg_30",53.881366102698,5.82120297635649,59.7025690790545,"35c","30c"
"22","gg_31",203.165940564064,23.237633939275,226.403574503339,"25c","30c"
"23","gg_32",121.589692211258,15.9793623102969,137.569054521555,"35c","30c"
"24","gg_33",129.8881688459,12.4365968543929,142.324765700293,"25c","30c"
"25","gg_34",40.056759566684,8.73856659510211,48.7953261617861,"35c","30c"
"26","gg_35",270.544054797458,16.490258972663,287.034313770121,"25c","30c"
"27","gg_37",46.2218188364071,-6.94444130813057,39.2773775282765,"25c","30c"
"28","gg_40",25.7082765256271,3.50134813025139,29.2096246558785,"35c","30c"
