"","id","slope_42","intercept_42","vqmax_42","treatment","tleaf_fac"
"1","gg_2",84.6812428590034,21.0892815511756,105.770524410179,"35c","42c"
"2","gg_3",129.073158353855,12.1180293597022,141.191187713558,"25c","42c"
"3","gg_4",74.949816017392,12.7192543581198,87.6690703755118,"35c","42c"
"4","gg_5",95.3388398057335,2.97523602729607,98.3140758330295,"25c","42c"
"5","gg_6",73.7671749240281,14.1573295272393,87.9245044512673,"35c","42c"
"6","gg_7",132.397328313735,21.8796635783052,154.27699189204,"25c","42c"
"7","gg_9",133.14461841259,18.8144215846105,151.9590399972,"25c","42c"
"8","gg_10",49.4011126942612,6.65874770440525,56.0598603986664,"35c","42c"
"9","gg_12",123.148720005402,-3.78393806871458,119.364781936688,"35c","42c"
"10","gg_14",69.765971905775,17.4466348326073,87.2126067383823,"35c","42c"
"11","gg_16",53.1969403776121,12.1740443022218,65.3709846798339,"35c","42c"
"12","gg_18",60.1041325654609,5.5537384901975,65.6578710556584,"35c","42c"
"13","gg_21",133.64809155284,7.2693641909033,140.917455743744,"25c","42c"
"14","gg_22",70.0424202429727,12.6463887488668,82.6888089918395,"35c","42c"
"15","gg_24",66.8963230719446,9.33431002357449,76.2306330955191,"35c","42c"
"16","gg_25",101.654775729966,9.96948336162231,111.624259091588,"25c","42c"
"17","gg_26",75.2274246358693,14.0446906381036,89.2721152739729,"35c","42c"
"18","gg_27",104.34781381589,13.8729864068539,118.220800222744,"25c","42c"
"19","gg_28",103.763604420005,23.3048857210626,127.068490141067,"35c","42c"
"20","gg_29",147.845297575645,18.8802649158422,166.725562491488,"25c","42c"
"21","gg_30",58.0155274173137,9.45560585290844,67.4711332702222,"35c","42c"
"22","gg_32",40.1689820469404,4.43545822256117,44.6044402695016,"35c","42c"
"23","gg_34",107.850955910732,20.1915870993912,128.042543010124,"35c","42c"
"24","gg_35",191.646459340916,18.8652346512487,210.511693992165,"25c","42c"
"25","gg_36",86.4415778619948,11.8605260320278,98.3021038940226,"35c","42c"
"26","gg_38",92.5814182041079,7.49391039938484,100.075328603493,"35c","42c"
"27","gg_39",62.7607246730139,-0.818418817061848,61.9423058559521,"25c","42c"
"28","gg_40",39.075419998801,5.45184103996296,44.527261038764,"35c","42c"
